url,robot,builder,type,job,team,hometown,sponsors,statHistory,matchHistory
https://battlebots.com/robot/whiplash-2019/,Whiplash,Jeff Vasquez,Articulated Lifter / Vertical Disc Spinner,Senior Engineering Technician at Meggitt Airframe Systems,Fast Electric Robots,"Thousand Oaks, CA","['Meggitt', 'GoEngineer', 'MaxAmps.com', 'Crane Technology', 'Towers Metalworks']","{'Career': {'Total matches': '9', 'Win percentage': '78%', 'Total wins': '7', 'Losses': '2', 'Knockouts': '5', 'KO percentage': '56%', 'Average knockout time': '108 s', 'Knockouts against': '2', 'KO against percentage': '22%', 'Judges decision wins': '2'}, '2019': {'Total matches': '2', 'Win percentage': '100%', 'Total wins': '2', 'Losses': '0', 'Knockouts': '1', 'KO percentage': '50%', 'Average knockout time': '106 s', 'Knockouts against': '0', 'KO against percentage': '0%', 'Judges decision wins': '1'}, '2018': {'Total matches': '7', 'Win percentage': '71%', 'Total wins': '5', 'Losses': '2', 'Knockouts': '4', 'KO percentage': '57%', 'Average knockout time': '110 s', 'Knockouts against': '2', 'KO against percentage': '29%', 'Judges decision wins': '1'}}","[{'Season': '2019', 'Round': 'Episode 2', 'Matchup': 'Minotaur vs Whiplash', 'Results': 'Whiplash by JD'}, {'Season': '2019', 'Round': 'Episode 5', 'Matchup': 'SOW vs Whiplash', 'Results': 'Whiplash by KO 1m46s'}, {'Season': '2018', 'Round': 'Day 2 Session 1', 'Matchup': 'Whiplash vs Hypothermia', 'Results': 'Whiplash by KO 1m27s'}, {'Season': '2018', 'Round': 'Day 4 Session 1', 'Matchup': 'Whiplash vs Mecha Rampage', 'Results': 'Whiplash by KO 52s'}, {'Season': '2018', 'Round': 'Day 6 Session 2', 'Matchup': 'Tombstone vs Whiplash', 'Results': 'Tombstone by KO 1m14s'}, {'Season': '2018', 'Round': 'Day 8 Session 1', 'Matchup': 'Warhead vs Whiplash', 'Results': 'Whiplash by KO 2m4s'}, {'Season': '2018', 'Round': 'Sweet 16 2018', 'Matchup': 'Yeti vs Whiplash', 'Results': 'Whiplash by JD'}, {'Season': '2018', 'Round': 'Quarter Finals 2018', 'Matchup': 'Bronco vs Whiplash', 'Results': 'Whiplash by KO 2m57s'}, {'Season': '2018', 'Round': 'Semi Finals 2018', 'Matchup': 'Whiplash vs Bite Force', 'Results': 'Bite Force by KO 1m29s'}, {'Season': '2016', 'Round': 'Qualifiers Session 2', 'Matchup': 'Whiplash vs Warrior Dragon', 'Results': 'Warrior Dragon by JD'}, {'Season': '2016', 'Round': 'Sunday Exhibition', 'Matchup': ""Whiplash vs The Disk o' Inferno vs Rotator"", 'Results': 'Rotator by JD'}]"
https://battlebots.com/robot/25345/,Witch Doctor,Andrea Suarez,Disc spinner (vertical),Medical device engineer,Team Witch Doctor,"Miami, FL","['VEX Robotics', 'Kalamazoo Waterjet', 'Zimmer Biomet', 'MaxAmps', 'Mastercam', 'Southern Manufacturing Technologies']","{'Career': {'Total matches': '12', 'Win percentage': '58%', 'Total wins': '7', 'Losses': '5', 'Knockouts': '5', 'KO percentage': '42%', 'Average knockout time': '66 s', 'Knockouts against': '5', 'KO against percentage': '42%', 'Judges decision wins': '2'}, '2019': {'Total matches': '2', 'Win percentage': '100%', 'Total wins': '2', 'Losses': '0', 'Knockouts': '1', 'KO percentage': '50%', 'Average knockout time': '70 s', 'Knockouts against': '0', 'KO against percentage': '0%', 'Judges decision wins': '1'}, '2018': {'Total matches': '5', 'Win percentage': '60%', 'Total wins': '3', 'Losses': '2', 'Knockouts': '2', 'KO percentage': '40%', 'Average knockout time': '67 s', 'Knockouts against': '2', 'KO against percentage': '40%', 'Judges decision wins': '1'}, '2016': {'Total matches': '2', 'Win percentage': '50%', 'Total wins': '1', 'Losses': '1', 'Knockouts': '1', 'KO percentage': '50%', 'Average knockout time': '42 s', 'Knockouts against': '1', 'KO against percentage': '50%', 'Judges decision wins': '0'}, '2015': {'Total matches': '3', 'Win percentage': '33%', 'Total wins': '1', 'Losses': '2', 'Knockouts': '1', 'KO percentage': '33%', 'Average knockout time': '84 s', 'Knockouts against': '2', 'KO against percentage': '67%', 'Judges decision wins': '0'}}","[{'Season': '2019', 'Round': 'Episode 2', 'Matchup': 'Shatter vs Witch Doctor', 'Results': 'Witch Doctor by JD'}, {'Season': '2019', 'Round': 'Episode 5', 'Matchup': 'Captain Shrederator vs Witch Doctor', 'Results': 'Witch Doctor by KO 1m10s'}, {'Season': '2018', 'Round': 'Day 1 Session 2', 'Matchup': 'Witch Doctor vs Yeti', 'Results': 'Yeti by KO 1m24s'}, {'Season': '2018', 'Round': 'Day 4 Session 2', 'Matchup': 'Witch Doctor vs Blacksmith', 'Results': 'Witch Doctor by JD'}, {'Season': '2018', 'Round': 'Day 6 Session 2', 'Matchup': 'Ultimo Destructo vs Witch Doctor', 'Results': 'Witch Doctor by KO 54s'}, {'Season': '2018', 'Round': 'Day 8 Session 1', 'Matchup': 'Overhaul vs Witch Doctor', 'Results': 'Witch Doctor by KO 1m20s'}, {'Season': '2018', 'Round': 'Sweet 16 2018', 'Matchup': 'Minotaur vs Witch Doctor', 'Results': 'Minotaur by KO 1m39s'}, {'Season': '2016', 'Round': 'Qualifiers Session 1', 'Matchup': 'Rotator vs Witch Doctor', 'Results': 'Witch Doctor by KO 42s'}, {'Season': '2016', 'Round': 'Round of 32', 'Matchup': 'Witch Doctor vs Red Devil', 'Results': 'Red Devil by KO 1m27s'}, {'Season': '2016', 'Round': 'Sunday Exhibition', 'Matchup': 'Bite Force vs Witch Doctor vs Wrecks', 'Results': 'Bite Force by KO 2m12s'}]"
https://battlebots.com/robot/yeti-2019/,Yeti,Greg Gibson,Drum spinner,Hydrographic Surveyor,Team Yeti,"Wasilla, AK","['Trijet Manufacturing Services LLC', 'eTrac Inc', 'P1 Hobbies']","{'Career': {'Total matches': '12', 'Win percentage': '67%', 'Total wins': '8', 'Losses': '4', 'Knockouts': '5', 'KO percentage': '42%', 'Average knockout time': '108 s', 'Knockouts against': '1', 'KO against percentage': '8%', 'Judges decision wins': '3'}, '2019': {'Total matches': '2', 'Win percentage': '50%', 'Total wins': '1', 'Losses': '1', 'Knockouts': '0', 'KO percentage': '0%', 'Average knockout time': '', 'Knockouts against': '0', 'KO against percentage': '0%', 'Judges decision wins': '1'}, '2018': {'Total matches': '5', 'Win percentage': '60%', 'Total wins': '3', 'Losses': '2', 'Knockouts': '2', 'KO percentage': '40%', 'Average knockout time': '99 s', 'Knockouts against': '1', 'KO against percentage': '20%', 'Judges decision wins': '1'}, '2016': {'Total matches': '5', 'Win percentage': '80%', 'Total wins': '4', 'Losses': '1', 'Knockouts': '3', 'KO percentage': '60%', 'Average knockout time': '117 s', 'Knockouts against': '0', 'KO against percentage': '0%', 'Judges decision wins': '1'}}","[{'Season': '2019', 'Round': 'Episode 3', 'Matchup': 'Bite Force vs Yeti', 'Results': 'Bite Force by JD'}, {'Season': '2019', 'Round': 'Episode 6', 'Matchup': 'Free Shipping vs Yeti', 'Results': 'Yeti by JD'}, {'Season': '2018', 'Round': 'Day 1 Session 2', 'Matchup': 'Witch Doctor vs Yeti', 'Results': 'Yeti by KO 1m24s'}, {'Season': '2018', 'Round': 'Day 3 Session 1', 'Matchup': 'Icewave vs Yeti', 'Results': 'Icewave by KO 35s'}, {'Season': '2018', 'Round': 'Day 5 Session 1', 'Matchup': 'Yeti vs Bombshell', 'Results': 'Yeti by JD'}, {'Season': '2018', 'Round': 'Day 7 Session 2', 'Matchup': 'Petunia vs Yeti', 'Results': 'Yeti by KO 1m54s'}, {'Season': '2018', 'Round': 'Sweet 16 2018', 'Matchup': 'Yeti vs Whiplash', 'Results': 'Whiplash by JD'}, {'Season': '2016', 'Round': 'Qualifiers Session 1', 'Matchup': 'Lock-Jaw vs Yeti', 'Results': 'Yeti by JD'}, {'Season': '2016', 'Round': 'Round of 32', 'Matchup': 'Yeti vs Lucky', 'Results': 'Yeti by KO 2m44s'}, {'Season': '2016', 'Round': 'Sweet 16', 'Matchup': 'Mega Tento vs Yeti', 'Results': 'Yeti by KO 44s'}, {'Season': '2016', 'Round': 'Quarter Finals', 'Matchup': 'Chomp vs Yeti', 'Results': 'Yeti by KO 2m24s'}, {'Season': '2016', 'Round': 'Semi Finals', 'Matchup': 'Tombstone vs Yeti', 'Results': 'Tombstone by JD'}]"
